id,user,location,geo_enabled,geo,coordinates,text,created_at
1463541101613273000,18750177,Toronto/New York City,True,"{'type': 'Point', 'coordinates': [40.71270142, -74.00589108]}","{'type': 'Point', 'coordinates': [-74.00589108, 40.71270142]}","@alexis.eke illustration for @nike ft athletes @napheesa24 and @sylvia_fowles //
.
#alexiseke 
#nike 
#sylviafowles 
#napheesacollier 
#thecanvasagency @ New York City, N.Y. https://t.co/em8B9FhvTx",Wed Nov 24 16:12:44 +0000 2021
1463726356294877200,40960244,"Long Beach, CA",True,"{'type': 'Point', 'coordinates': [33.74678101, -118.11489303]}","{'type': 'Point', 'coordinates': [-118.11489303, 33.74678101]}",So thankful to have such a cool running club to hang with. @arunningexperienceclub great runners and great people👍. @lululemon @hoka @spring_energy @ Malainey's Grill and One Hell of an Irish Bar https://t.co/CzzEbGNMMT,Thu Nov 25 04:28:52 +0000 2021
1463927354531762200,237102183,"Los Angeles, USA",True,"{'type': 'Point', 'coordinates': [34.0564, -118.2445]}","{'type': 'Point', 'coordinates': [-118.2445, 34.0564]}","@NIKE @SNKRS presents #ICONSofLOSANGELES  feat. @porcelainsneakerhead aka @madeinlondonj #Porcelain #Art #Talent #Creativity #Passion @ Los Angeles, California https://t.co/rU3U2RkIVW",Thu Nov 25 17:47:34 +0000 2021
1464319311309332500,615343193,"Atlanta, GA",True,"{'type': 'Point', 'coordinates': [33.8237, -84.0699]}","{'type': 'Point', 'coordinates': [-84.0699, 33.8237]}",Live On Your Radio @streetz945atl From Shiloh HS For Holiday Hoops Giving Basketball Presented By @slam @adidas @holiday_hoopsgiving @ Shiloh High School https://t.co/appqFZNRVO,Fri Nov 26 19:45:04 +0000 2021
1464477747921580000,32739519,"Philadelphia, PA",True,"{'type': 'Point', 'coordinates': [40.02732988, -75.15626822]}","{'type': 'Point', 'coordinates': [-75.15626822, 40.02732988]}",Pick your style with the right attitude…#sneakerhead #sneakers #jordans #jordan1 #snkrskickcheck @nike @nikesb #kicks #moto #bikelife #phillybikelife #motorbike #youngboss #sneakeraddict @ Nicetown North Philly https://t.co/GynAhFzIjp,Sat Nov 27 06:14:38 +0000 2021
1464675400315981800,40960244,"Long Beach, CA",True,"{'type': 'Point', 'coordinates': [33.5743, -117.7757]}","{'type': 'Point', 'coordinates': [-117.7757, 33.5743]}",Fun morning of trails with the awesome Wreck crew!  @arunningexperienceclub @spring_energy @lululemon @hoka @ Laguna Coast Wilderness Park https://t.co/UzQfQ1o8Fj,Sat Nov 27 19:20:02 +0000 2021
1464801818391810000,3479722349,"Hope Mills, NC",True,"{'type': 'Point', 'coordinates': [34.90459293, -78.85473483]}","{'type': 'Point', 'coordinates': [-78.85473483, 34.90459293]}",These @nike AJ XI cool grey look🔥🔥🔥#iWantThem get the app and get notified! #christmasgifts @official.a.c.f @julianflorezcamel @julian_florez6999 now you know what to get me! 11.5 W please! Lmfao https://t.co/npnaVsCIqq,Sun Nov 28 03:42:22 +0000 2021
1465462920008056800,1153192386,"Mayagüez, Puerto Rico",True,"{'type': 'Point', 'coordinates': [40, -100]}","{'type': 'Point', 'coordinates': [-100, 40]}","Thank you to everyone at @adidas for the continued support. 

Taking things back to 2001!

GOD BLESS

SMILE @ United States https://t.co/kxjngZ3VUM",Mon Nov 29 23:29:21 +0000 2021
1465491506781905000,1043911579211886600,"Pembroke Pines, FL",True,"{'type': 'Point', 'coordinates': [26.03076736, -80.37468361]}","{'type': 'Point', 'coordinates': [-80.37468361, 26.03076736]}",Pines Charter on the Move over Monarch  @pines_charter_jaguarbasketball   #nikon   #nikonphotography   #nikond6   #nikkor   @nike   @nikebasketball @ City/Pembroke Pines Charter High School https://t.co/Jg6qnMlAOn,Tue Nov 30 01:22:57 +0000 2021
1465687420561768400,28596875,Atlanta,True,"{'type': 'Point', 'coordinates': [33.7457567, -84.4038837]}","{'type': 'Point', 'coordinates': [-84.4038837, 33.7457567]}","Who I need to talk to for the @nike @jumpman23 endorsement/ambassadorship? • 📷:@evanranft
#PetieParker
#Muralist 
😮‍💨cough 😮‍💨cough @k.lunan2 👀 lol @ Peters Street Station https://t.co/mPUZ9kVwny",Tue Nov 30 14:21:26 +0000 2021
1465689928138899500,1092897416116867100,"Brooklyn, NY",True,"{'type': 'Point', 'coordinates': [25.79940159, -80.19436109]}","{'type': 'Point', 'coordinates': [-80.19436109, 25.79940159]}",#80sprom @oasiswynwood @ouruniversalforce @oasiswynwood @sohodutch @ill_brieski @kangol @adidas @ Oasis Wynwood https://t.co/jR65JQYhTR,Tue Nov 30 14:31:24 +0000 2021
